protein	cisonly	proposed_0.001	proposed_0.0005	proposed_0.0001	proposed_0.00005	proposed_0.00001	proposed_0.000005	proposed_0.000001
neurol_IL.5R.alpha	0.07086162	0.04199461	0.03737006	0.0413786	0.02992938	0.01565158	0.01455434	NA
neurol_PDGF.R.alpha	0.06432504	0.08719766	0.09626929	0.05230991	0.08919653	0.001088738	0.0003354532	NA
neurol_CTSC	0.2123696	0.2221706	0.2256473	0.2109747	0.2015968	0.2104875	0.2100329	0.2142225
neurol_CDH6	0.05750412	0.04938273	0.02012697	0.05841057	0.01953359	0.01665078	NA	0.001597273
neurol_DDR1	0.03433799	0.0256686	0.01181093	0.01789105	0.02082957	0.01619847	0.01584741	0.004275963
neurol_JAM.B	0.006559151	0.01054276	0.00612837	NA	NA	NA	NA	NA
neurol_CTSS	0.059791	0.04916887	0.05425654	0.0541848	0.0714574	0.06770347	0.004189789	NA
neurol_N.CDase	0.356067	0.2507311	0.2611795	0.2545887	0.2785952	0.2989629	0.2940725	0.2587759
neurol_NAAA	0.1647797	0.1230614	0.1385869	0.1458442	0.1502151	0.1714527	0.1883345	0.1967885
neurol_N2DL.2	0.2503185	0.2520352	0.2406332	0.2132406	0.2067699	0.2442656	0.2239578	0.2110009
neurol_PLXNB1	0.02884332	0.02104188	0.009602653	0.03024508	0.0234114	0.02074209	NA	NA
neurol_TNFRSF21	0.08882254	0.09152099	0.09315466	0.06740326	0.06221986	0.06930869	0.09965155	0.03509176
neurol_CLM.1	0.6022363	0.6023192	0.6019852	0.5974911	0.5745374	0.5831634	0.6108838	0.6458993
neurol_SPOCK1	0.009292055	0.00670452	0.005176898	0.001288829	0.002255719	0.00144498	0.0009586042	0.00252165
neurol_IL12	0.08922371	0.02693929	0.04934596	0.05043453	0.05477955	0.02629552	0.03132903	0.03768301
neurol_Dkk.4	0.1149191	0.04989397	0.05040277	0.03310045	0.03975724	0.05339929	0.02610013	0.08340791
neurol_EDA2R	0.00261019	0.005683689	0.009168956	0.007781243	0.003900491	NA	0.000846668	NA
neurol_LAT	0.001224159	0.003859597	0.001607711	0.01394793	0.009172816	0.008122831	0.006301982	NA
neurol_NTRK3	0.02745257	0.007997345	0.00346511	0.0004649322	0.0003551894	0.0006570441	0.005181303	0.007804354
neurol_LAIR.2	0.3284772	0.2511566	0.2647294	0.2053237	0.2076036	0.261565	0.3013992	0.2951427
neurol_MANF	0.004507823	0.003779367	0.003848758	0.004922868	0.00443821	0.001625606	0.0009432856	NA
neurol_TN.R	0.05730809	0.04686598	0.03676916	0.04105453	0.04897748	0.04060698	0.04957929	0.05321067
neurol_CD200R1	0.149325	0.05982189	0.07420903	0.1326674	0.1712188	0.1878364	0.1772727	0.2034797
neurol_Nr.CAM	0.05903937	NA	NA	0.001015448	NA	NA	NA	NA
neurol_KYNU	0.03317992	0.02573871	0.0160406	0.01195885	0.004367069	0.01001942	0.01099888	0.01392008
